,img,bank,card_name,point,category,each_spending
16,https://ringgitplus.com/img/card-400/519489e2193821ed4a000004/new-aeon-mastercard-gold.jpg,aeon,new_aeon_mastercard_gold,1.0,on other transactions,2
17,https://ringgitplus.com/img/card-400/519489e2193821ed4a000001/new-aeon-mastercard-classic.jpg,aeon,new_aeon_mastercard_classic,4.0,at aeon stores every 10th of the month,1
18,https://ringgitplus.com/img/card-400/519489e2193821ed4a000001/new-aeon-mastercard-classic.jpg,aeon,new_aeon_mastercard_classic,2.0,at aeon stores everyday,1
19,https://ringgitplus.com/img/card-400/519489e2193821ed4a000001/new-aeon-mastercard-classic.jpg,aeon,new_aeon_mastercard_classic,1.0,other and overseas transactions (except petrol and government department),2
20,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000b/aeon-visa-classic.jpg,aeon,aeon_visa_classic,1.0,on retail spending,2
21,https://ringgitplus.com/img/card-400/519489e2193821ed4a000005/aeon-mastercard-classic.jpg,aeon,aeon_mastercard_classic,1.0,on retail spending,2
22,https://ringgitplus.com/img/card-400/53c8a6d3f2d42521322f2820/affinbank-world-mastercard.jpg,affin_bank,affinbank_world_mastercard,3.0,on all overseas retail expenses,1
23,https://ringgitplus.com/img/card-400/53c8a6d3f2d42521322f2820/affinbank-world-mastercard.jpg,affin_bank,affinbank_world_mastercard,1.0,on all local retail transactions,1
24,https://ringgitplus.com/img/card-400/519489e2193821ed4a000011/affinbank-visa-gold.jpg,affin_bank,affinbank_visa_gold,1.0,on all retail transactions,1
25,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000e/affinbank-mastercard-classic.jpg,affin_bank,affinbank_mastercard_classic,1.0,on all retail transactions,1
26,https://ringgitplus.com/img/card-400/519489e2193821ed4a000014/affinbank-bhpetrol-touch-fuel-mastercard-contactless.jpg,affin_bank,affinbank_bhpetrol_'touch_&_fuel'_mastercard_contactless,1.0,on all retail transactions,1
27,https://ringgitplus.com/img/card-400/519489e2193821ed4a000010/affinbank-mastercard-gold.jpg,affin_bank,affinbank_mastercard_gold,1.0,on all retail transactions,1
28,https://ringgitplus.com/img/card-400/519489e2193821ed4a00000f/affinbank-visa-classic.jpg,affin_bank,affinbank_visa_classic,1.0,on all retail transactions,1
29,https://ringgitplus.com/img/card-400/5b76805fd1077cae0c81204f/affin-islamic-world-mastercard.jpg,affin_islamic_bank,affin_islamic_world_mastercard,3.0,on all overseas retail transaction,1
30,https://ringgitplus.com/img/card-400/5b76805fd1077cae0c81204f/affin-islamic-world-mastercard.jpg,affin_islamic_bank,affin_islamic_world_mastercard,1.0,on all local retail transaction,1
31,https://ringgitplus.com/img/card-400/5b767ef0d1077cae0c81204d/affin-islamic-platinum-mastercard.jpg,affin_islamic_bank,affin_islamic_platinum_mastercard,2.0,on all overseas retail spends,1
32,https://ringgitplus.com/img/card-400/5b767ef0d1077cae0c81204d/affin-islamic-platinum-mastercard.jpg,affin_islamic_bank,affin_islamic_platinum_mastercard,1.0,on all local retail transactions,1
33,https://ringgitplus.com/img/card-400/5b767bfcd1077cae0c812049/affin-islamic-mastercard-gold.jpg,affin_islamic_bank,affin_islamic_mastercard_gold,2.0,on overseas retail expenses,1
34,https://ringgitplus.com/img/card-400/5b767bfcd1077cae0c812049/affin-islamic-mastercard-gold.jpg,affin_islamic_bank,affin_islamic_mastercard_gold,1.0,on local retail expenses,1
